id,platce,platce_ico,dodavatel,dodavatel_ico,hodnota_czk,datum,rok,predmet,je_skola
36459793,Město Moravské Budějovice,00289931,"UNIQA pojišťovna, a.s.",49240480,609336.0,2026-01-16,2026,Pojistná smlouva o pojištění majetku a odpovědnosti č. 2732329275,False
36455953,"Základní škola Ostrava-Výškovice, Srbská 2, příspěvková organizace",70631778,"STOLAŘSTVÍ MaJaMi, s.r.o.",26825376,289143.0,2026-01-19,2026,Ubytování ,True
36410293,"Střední zemědělská škola a Střední odborné učiliště Čáslav, příspěvková organizace",49797999,HOSH company s.r.o.,07942044,2500000.0,2026-01-14,2026,ubytování zaměstnanců firmy,True
36409617,Univerzita Palackého v Olomouci,61989592,Gavi interiér s.r.o.,04293860,162580.0,2026-01-12,2026,Objednávka: 4590019454 Sedací souprava a křesla do malé zasedací místnosti RUP,False
36408817,"Základní škola, Brno, Jasanová 2, příspěvková organizace",44994290,PAPERA s.r.o.,25945653,106123.36,2025-12-29,2025,Kancelářské a hygienické potřeby,True
36403369,"Speciální mateřská škola, základní škola a praktická škola Pardubice",60158981,"C.T. PARTNER, s.r.o.",64791734,282420.0,2025-12-19,2025,dodávka a montáž nábytku do tříd,True
36398985,"Střední odborná škola a Střední odborné učiliště, Písek, Komenského 86",00511382,"K a K stavoinvesta, s.r.o.",46966218,52413.22,2026-01-15,2026,8x set na sezení,True
36397181,"Střední zdravotnická škola a Vyšší odborná škola zdravotnická, České Budějovice, Husova 3",00582239,SANTAL spol. s r. o.,42408121,252784.0,2025-12-18,2025,Objednávka nábytku do učebny psychologie,True
36397033,"Střední zdravotnická škola a Vyšší odborná škola zdravotnická, České Budějovice, Husova 3",00582239,SANTAL spol. s r. o.,42408121,76835.0,2025-12-18,2025,Objednávka nábytku do učebny - PT,True
36386925,"Základní škola a Mateřská škola pro tělesně postižené, Liberec, Lužická 920/7, příspěvková organizace",46749799,mmilenium s.r.o.,08254532,97253.75,2026-01-14,2026,Objednávka chladicí vitríny a nerezového nábytku,True
36386893,"Základní škola T. G. Masaryka Podbořany, Husova 445, okres Louny",70879010,NÁBYTEK HONZA s.r.o.,27198821,253487.6,2025-12-30,2025,Objednávka lavic a židlí,True
36363357,"Základní škola, Ostrava-Poruba, J. Šoupala 1609, příspěvková organizace",70984751,InterŠKOL a.s.,24814466,623271.0,2026-01-12,2026,nábytek pro družinu a šatny,True
36360269,14. základní škola Plzeň,68784643,MY DVA holding a.s.,25676059,78589.5,2025-12-20,2025,Vybavení kabinetu TV,True
36354177,Vysoká škola báňská - Technická univerzita Ostrava,61989100,Merci sro.   ,46966447,73240.0,2026-01-08,2026,Objednávka - laboratorní rohový stůl,True
