izo,lat,lon
107850541,50.3080868,13.9957872
000081876,50.5396183,14.1343599
000081990,50.4266896,14.2558495
110035798,50.426533,14.2584031
108043720,50.5335665,14.1363668
130000183,50.5378611,14.1335451
000081884,50.5129612,14.0491239
061357235,50.3545437,13.7970893
061357278,50.3217251,13.5457479
110032829,50.3317489,13.5436695
018380824,50.2265573,13.4038493
061357294,50.3209037,13.5460186
045708797,50.3301531,13.5390768
108040780,50.3301531,13.5390768
110018061,50.6003161,13.6027825
108006948,50.5140776,13.6406383
110020707,50.5976969,13.6078725
110018044,50.4931175,13.6314149
110000030,50.4931175,13.6314149
110034147,50.505233,13.6590327
108007057,50.4931175,13.6314149
108006930,50.4983119,13.6477676
108007014,50.505233,13.6590327
108007049,50.5031991,13.6582593
000081922,50.6373038,13.8220146
102000654,50.6661446,13.8023356
000082198,50.6044207,13.7463639
107850486,50.6827952,13.8500712
107850303,50.6491415,13.845813
107850427,50.6404067,13.8010993
000081931,50.6639411,14.0098379
000082201,50.6727454,14.0490292
014867362,50.6705618,14.0340484
047313129,50.6623388,14.0397761
000082627,50.6425733,13.9952435
102517576,50.6425639,13.9986713
000082287,50.6618436,14.0378299
102789207,50.6763401,14.0285418
110018095,50.6510851,14.0541427
102006881,49.609084,15.5802845
102006920,49.7168287,15.6729566
130002097,49.6945126,15.2788355
102018006,49.6026241,15.5791043
102006954,49.6034338,15.599181
011583771,50.2180929,15.8546661
012996050,50.2556768,15.8563213
011021420,50.203777,15.8344386
062690035,50.213737,15.8421556
062690043,50.2125705,15.8388175
062690060,50.208659,15.8255209
062690221,50.2439638,15.4815088
000527939,50.214433,15.8133746
062690272,50.2131149,15.8408115
110100867,50.1918255,15.849619
000087751,50.2390163,15.4898638
062062883,50.2111701,15.8382522
044445288,50.2184769,15.8550381
108007863,50.2089269,15.8020997
015062848,50.2048607,15.8335815
060103329,49.7670498,15.918817
060103345,49.9495138,15.7989125
060103337,49.9503327,15.78346
110020405,49.9455838,15.7904825
181034484,49.950366,15.7889317
015052796,49.8676588,15.5731674
015052591,49.951105,15.780225
000087131,50.4391145,15.3519049
000087513,50.434784,15.3527417
000087629,50.3302126,15.2708975
000401170,50.4960221,15.5103208
000087297,50.4388683,15.3499762
000087343,50.3630788,15.6317313
060115645,50.4406482,15.3461032
102266239,50.5850896,16.3307878
102266247,50.4135763,16.160515
102266255,50.3504225,15.9187563
107860601,50.3530051,15.92203
102101531,50.41912,16.172805
108024148,50.4209813,16.1647325
061222402,50.0256395,15.7691984
048161101,50.075095,15.9843838
048160989,50.0361003,15.7897238
048161209,50.0323734,15.7679485
048161161,50.0386167,15.776344
000087858,50.0577157,15.4870865
041263936,50.0241163,15.8321241
048161012,50.0367901,15.7887956
044434324,50.0338254,15.7903892
110032233,50.0440662,15.7488007
048161179,50.052752,15.7663143
000087840,50.0319481,15.4160098
046521798,50.0507802,15.7696991
015050670,50.0534803,15.7649202
062029754,50.0507802,15.7696991
012954691,50.0593838,15.6971562
060884762,50.2948143,16.1501546
060884703,50.1628466,16.280006
060884690,50.1191313,16.2108
060884711,50.1244311,16.2101497
060884746,50.2883102,16.1579154
102454311,50.5837121,15.1561717
102454345,50.590915,15.1615425
102454302,50.6058625,15.3348138
000401021,49.8692688,16.3076025
000194221,49.7127713,16.2696663
000087173,49.6310781,16.7078741
000401030,49.7584131,16.6594211
002518333,49.7572804,16.4646323
000087211,49.8729876,16.308745
110029470,49.7047701,16.2604975
015034496,49.7593309,16.6564512
015034569,49.7557217,16.4625676
047450827,49.8773394,16.1733579
000401048,49.7126351,16.2679438
060153393,50.4301276,15.8123363
060153237,50.5614488,15.9123
060153245,50.5410751,15.7257313
060153296,50.5957463,15.8791237
110037791,50.4334751,15.8108988
049314670,49.9043881,16.4438715
049314661,50.0015924,16.2248442
049314653,49.9124599,16.6106372
000401081,49.9716871,16.3969951
000401072,49.9524539,16.1578682
049314891,50.0855005,16.4649954
000087939,50.0838851,16.7225225
110011848,49.9509654,16.1588527
110032608,50.0353001,16.4998063
000087408,49.9741948,16.391189
000087670,49.9124356,16.6118541
110032110,49.9042866,16.4409096
000654949,50.0725869,16.4636367
000529842,49.9664573,16.4109325
049314912,50.0382731,16.4900965
102007926,49.360999,16.6466639
102007942,49.3516777,16.6563657
108028135,49.4128238,16.6369863
107870738,49.4892401,16.6642125
102104522,49.4041555,16.4119564
102007934,49.49124,16.65717
110250141,49.5429664,16.5716161
102007993,49.4889063,16.6571287
110000048,49.3592637,16.6476284
110027027,49.3703059,16.6446136
000532525,49.2022844,16.5737394
048513512,49.2469809,16.5782337
000558974,49.2120506,16.6326694
000558982,49.179903,16.595676
000558991,49.1904985,16.6201427
000559016,49.2226654,16.5914275
000559032,49.202061,16.6111559
000566381,49.2054951,16.5966266
048513423,49.2074874,16.6568509
060522321,49.2074874,16.6568509
110012453,49.2064102,16.5923349
000559008,49.2073996,16.5882971
000567582,49.2107773,16.5984811
062157884,49.217616,16.5532707
110025831,49.1949307,16.6123915
013064401,49.2005083,16.6008999
042660505,49.1925431,16.6361758
060723785,49.2244873,16.5976778
110012445,49.1826459,16.5624599
110012488,49.1838404,16.6334194
110012461,49.2013268,16.581007
048033413,49.1710219,16.5595604
060552255,49.1959917,16.6063351
108010015,49.2122149,16.6329192
000380385,49.2142567,16.5621091
000559466,49.2016421,16.6126468
000638013,49.1667041,16.5992493
044012667,49.2124626,16.6048443
000173843,49.1760244,16.5327228
000380431,49.1998425,16.6687894
060555211,49.2192429,16.5142429
044991517,49.1657845,16.5550638
046315284,49.1910514,16.596357
151028788,49.1910514,16.596357
000226467,49.2016421,16.6126468
062157264,49.2016421,16.6126468
000559415,49.2033383,16.5985305
000566756,49.2023154,16.6243166
040454525,49.1910514,16.596357
250003791,49.1910514,16.596357
060729937,49.2305464,16.6232172
102191573,49.1934743,16.3619819
107870762,49.3495138,16.4237671
102191531,49.3495138,16.4237671
107870312,49.3113387,16.5363211
102191557,49.1042984,16.3694105
108010112,49.1605232,16.7286093
102191565,49.349838,16.4264463
107870746,49.085519,16.6043854
108010228,49.0371907,16.6130175
108055710,48.9976733,16.8660397
000559083,48.9407523,16.7378434
000559091,48.8057832,16.6380974
110251059,48.7436451,16.75254
107870789,48.7634216,16.8872338
000559075,48.7558161,16.8901492
108055698,48.7590686,16.8868118
110000404,48.7512694,16.8954282
110014898,48.9445432,16.7355067
102319936,49.2172288,17.512265
108011020,49.0889594,17.874808
102319928,49.1403877,18.0050614
102319995,49.2201903,17.6517565
102319863,49.2182538,17.6923588
108011119,49.2191717,17.6670522
102319944,49.2220438,17.66506
110012356,49.2421463,17.6642375
107870321,49.2269475,17.6964449
107870479,49.2121514,17.5323507
107870568,49.2225458,17.6522678
181120941,49.2202038,17.6636763
108010848,49.223904,17.8441755
108040895,49.22434,17.5120338
107870801,49.1320247,18.0115829
000559148,49.0115951,17.1259146
000559156,48.8992765,17.3135528
000053155,48.9738616,17.2697645
000837733,48.9471549,17.3887813
000053163,49.0163219,17.1245582
110012275,48.9021577,17.3146551
000559130,48.8509482,17.1245442
000559539,48.8504842,17.1305127
000837385,48.8999266,17.3194088
108047741,49.3979984,15.5858251
108047750,49.1829643,15.44864
110012542,49.392467,15.5887173
108047920,49.3973348,15.5836852
108047792,49.4288242,15.598907
108047938,49.3990696,15.5906734
108047954,49.3951309,15.5651089
108047989,49.3996174,15.5905906
110036891,49.3612977,15.4906681
110034066,49.3691153,14.9642687
108047784,49.4055051,15.6205934
108047911,49.3923462,15.5872522
102519943,49.2971919,17.3900801
102519978,49.2953269,17.4075607
